Country;Location;Name;Abbrevation
Island;Reykjavik;Reykjavíkurflugvöllur;REK
Norwegen;Oslo;Flughafen Oslo;OSL
Spanien;Madrid;Adolfo Suárez Madrid-Barajas;MAD
Irland;Dublin;Aerfort Bhaile Átha Cliath;DUB
Schweiz;Zürich;Flughafen Zürich;ZRH
Polen;Warschau;Chopin-Flughafen Warschau;WMI
Italien;Rom;Flughafen Rom-Fiumicino;FCO
Türkei;Istanbul;Istanbul Airport;IST
Deutschland;Frankfurt;Rhein-Main-Flughafen;FRA
Schweden;Stockholm;Stockholm/Arlanda;ARN
Estland;Riga;Starptautisk? lidosta;RIX
Frankreich;Paris;Paris-Charles de Gaulle;CDG
Russland;Moskau;Moskau-Scheremetjewo;SVO
Ukraine;Kiev;Kiew-Boryspil;KBP
Russland;Syktyvkar;Международный аэропорт Сыктывкар имени П.А.Истомина;SCW
Aserbaitschan;Baku;Heydər Əliyev;GYD
